Repository,Stars,Language
freeCodeCamp,373027,TypeScript
free-programming-books,297315
awesome,268276
996.ICU,267872
coding-interview-university,264494
public-apis,255117,Python
developer-roadmap,250389,TypeScript
system-design-primer,228595,Python
build-your-own-x,216216
react,212733,JavaScript
vue,205166,TypeScript
awesome-python,179802,Python
tensorflow,177432,C++
javascript-algorithms,174838,JavaScript
You-Dont-Know-JS,170991
Python,168080,Python
CS-Notes,166687
bootstrap,165180,JavaScript
ohmyzsh,162088,Shell
linux,156981,C
flutter,156474,Dart
gitignore,151130
vscode,150846,TypeScript
computer-science,148628
Auto-GPT,148030,Jupyter Notebook
awesome-selfhosted,147521
Python-100-Days,139598,Python
the-art-of-command-line,139177
JavaGuide,136755,Java
javascript,136245,JavaScript
youtube-dl,123249,Python
fucking-algorithm,118142,Markdown
30-seconds-of-code,115412,JavaScript
project-based-learning,115145
go,114117,Go
react-native,111615,C++
transformers,111372,Python
next.js,111194,JavaScript
electron,109028,C++
awesome-go,107673,Go
the-book-of-secret-knowledge,106616
d3,106191,Shell
free-programming-books-zh_CN,104680
axios,101536,JavaScript
kubernetes,101435,Go
stable-diffusion-webui,101082,Python
create-react-app,100680,JavaScript
node,97505,JavaScript
PowerToys,95005,C#
tech-interview-handbook,94485,TypeScript
three.js,94287,JavaScript
TypeScript,93889,TypeScript
nodebestpractices,92589,Dockerfile
scrcpy,90656,C
deno,90641,Rust
terminal,90229,C++
angular,89988,TypeScript
material-ui,88494,TypeScript
awesome-chatgpt-prompts,88061,HTML
ant-design,87464,TypeScript
clean-code-javascript,85242,JavaScript
rust,85025,Rust
puppeteer,84491,TypeScript
vue-element-admin,83862,Vue
java-design-patterns,83570,Java
storybook,80259,TypeScript
thefuck,79232,Python
animate.css,78517,CSS
realworld,76223,TypeScript
papers-we-love,76154,Shell
models,76090,Jupyter Notebook
Web-Dev-For-Beginners,75402,JavaScript
HelloGitHub,74734,Python
laravel,74583,PHP
LeetCodeAnimation,73633,Java
django,72883,Python
every-programmer-should-know,72850
free-for-dev,72637,HTML
svelte,72298,JavaScript
FiraCode,72288,Clojure
Font-Awesome,72182,JavaScript
tailwindcss,71730,HTML
frp,71530,Go
advanced-java,71485,Java
gin,71272,Go
bitcoin,71231,C++
opencv,71035,C++
pytorch,70473,Python
nvm,69833,Shell
mall,69682,Java
awesome-vue,69415
spring-boot,69213,Java
neovim,69157,Vim Script
hugo,68884,Go
Awesome-Hacking,68739
json-server,68247,JavaScript
iptv,68214,JavaScript
tauri,68174,Rust
app-ideas,66736
moby,66623,Go
Front-End-Checklist,65987
GitHub-Chinese-Top-Charts,65210,Java
elasticsearch,65003,Java
netdata,64946,C
reveal.js,64524,JavaScript
flask,64059,Python
godot,64033,C++
swift,63965,C++
webpack,63476,JavaScript
awesome-mac,63239,JavaScript
node,62792,Shell
core,62640,Python
fastapi,62215,Python
code-server,61961,TypeScript
express,61785,JavaScript
Chart.js,61649,JavaScript
redis,61371,C
langchain,61173,Python
protobuf,60690,C++
mermaid,60677,JavaScript
resume.github.com,60640,JavaScript
clash_for_windows_pkg,60533
interviews,60340,Java
awesome-machine-learning,59946,Python
redux,59882,TypeScript
