Repository,Stars,% of Closed Issues
freeCodeCamp,373027,0.99
free-programming-books,297318,0.97
awesome,268277,0.92
996.ICU,267872,0.00
coding-interview-university,264495,0.89
public-apis,255117,1.00
developer-roadmap,250390,0.63
system-design-primer,228596,0.29
build-your-own-x,216217,0.71
react,212733,0.91
vue,205167,0.96
awesome-python,179803,0.00
tensorflow,177432,0.95
javascript-algorithms,174838,0.64
You-Dont-Know-JS,170991,0.91
Python,168080,0.98
CS-Notes,166687,0.78
bootstrap,165180,0.98
ohmyzsh,162089,0.96
linux,156981,0.00
flutter,156474,0.87
gitignore,151130,0.00
vscode,150848,0.95
computer-science,148628,0.97
Auto-GPT,148033,0.68
awesome-selfhosted,147522,1.00
Python-100-Days,139598,0.17
the-art-of-command-line,139177,0.55
JavaGuide,136755,0.93
javascript,136245,0.93
youtube-dl,123249,0.85
fucking-algorithm,118143,0.57
30-seconds-of-code,115412,0.99
project-based-learning,115145,0.71
go,114117,0.86
react-native,111615,0.94
transformers,111372,0.95
next.js,111194,0.88
electron,109028,0.96
awesome-go,107673,1.00
the-book-of-secret-knowledge,106617,0.00
d3,106191,1.00
free-programming-books-zh_CN,104680,0.00
axios,101536,0.91
kubernetes,101435,0.96
stable-diffusion-webui,101082,0.78
create-react-app,100680,0.80
node,97506,0.92
PowerToys,95006,0.78
tech-interview-handbook,94485,0.74
three.js,94287,0.97
TypeScript,93890,0.85
nodebestpractices,92589,0.90
scrcpy,90656,0.62
deno,90641,0.83
terminal,90229,0.88
angular,89988,0.95
material-ui,88494,0.92
awesome-chatgpt-prompts,88061,0.00
ant-design,87463,0.97
clean-code-javascript,85242,0.55
rust,85025,0.82
puppeteer,84491,0.95
vue-element-admin,83862,0.66
java-design-patterns,83570,0.79
storybook,80259,0.85
thefuck,79232,0.67
animate.css,78517,0.97
realworld,76223,0.90
papers-we-love,76154,0.94
models,76090,0.85
Web-Dev-For-Beginners,75402,0.89
HelloGitHub,74734,0.95
laravel,74583,0.00
LeetCodeAnimation,73633,0.71
django,72883,0.00
every-programmer-should-know,72850,0.43
free-for-dev,72637,0.00
svelte,72298,0.85
FiraCode,72288,0.72
Font-Awesome,72182,0.72
tailwindcss,71730,1.00
frp,71530,0.97
advanced-java,71485,0.98
gin,71272,0.74
bitcoin,71231,0.95
opencv,71035,0.76
pytorch,70473,0.68
nvm,69833,0.83
mall,69682,0.95
awesome-vue,69415,0.86
spring-boot,69213,0.98
neovim,69157,0.86
hugo,68884,0.91
Awesome-Hacking,68739,0.00
json-server,68247,0.46
iptv,68214,0.98
tauri,68175,0.83
app-ideas,66736,0.33
moby,66623,0.83
Front-End-Checklist,65987,0.99
GitHub-Chinese-Top-Charts,65210,0.56
elasticsearch,65003,0.88
netdata,64947,0.96
reveal.js,64524,0.71
flask,64060,1.00
godot,64033,0.81
swift,63965,0.57
webpack,63476,0.98
awesome-mac,63239,0.72
node,62792,0.76
core,62640,0.95
fastapi,62216,0.99
code-server,61961,0.91
express,61785,0.97
Chart.js,61649,0.96
redis,61371,0.69
langchain,61173,0.33
protobuf,60690,0.86
mermaid,60677,0.68
resume.github.com,60641,0.53
clash_for_windows_pkg,60533,0.96
interviews,60340,0.42
awesome-machine-learning,59946,1.00
redux,59882,0.98
the-algorithm,59774,0.79
stable-diffusion,59730,0.28
atom,59585,0.94
cs-video-courses,59577,0.00
vite,59365,0.93
nest,59351,0.99
keras,59140,0.98
markdown-here,59136,0.51
angular.js,59092,0.96
socket.io,58900,0.98
github-readme-stats,58771,0.91
ansible,58468,0.98
architect-awesome,58431,0.32
awesome-react,57906,0.97
Front-end-Developer-Interview-Questions,57788,0.97
jquery,57788,0.97
devops-exercises,57690,0.77
33-js-concepts,57527,0.66
nocode,57520,0.14
awesome-interview-questions,57245,0.81
lodash,57113,0.91
grafana,56974,0.89
shadowsocks-windows,56929,0.95
funNLP,56488,0.77
supabase,56334,0.91
echarts,56245,0.87
awesome-for-beginners,56080,0.87
javascript-questions,56009,0.98
strapi,55850,0.96
awesome-public-datasets,55779,0.42
HowToCook,55730,0.43
scikit-learn,55630,0.85
cpython,55558,0.89
Apollo-11,55389,0.84
yt-dlp,55385,0.80
html5-boilerplate,55206,1.00
gatsby,54707,0.99
playwright,54531,0.94
excalidraw,54320,0.63
hoppscotch,54223,0.88
fzf,54164,0.89
syncthing,54111,0.94
superset,54060,0.87
element,53644,0.87
rails,53439,0.98
Java,53424,0.99
ML-For-Beginners,53409,0.00
manim,53210,0.65
tesseract,53112,0.85
design-resources-for-developers,53093,1.00
spring-framework,53031,0.95
awesome-nodejs,52639,1.00
Ventoy,52494,0.75
leetcode,52329,0.97
Best-websites-a-programmer-should-visit,52023,0.66
gpt4all,51797,0.76
DeepLearning-500-questions,51465,0.44
react-router,50936,0.99
normalize.css,50882,0.91
Semantic-UI,50740,0.85
PayloadsAllTheThings,50360,0.00
tabby,50339,0.66
requests,50171,0.95
obs-studio,50058,0.88
imgui,50054,0.85
prometheus,49753,0.87
caddy,49519,0.97
ionic-framework,49486,0.98
face_recognition,49244,0.45
awesome-courses,48996,0.54
awesome-cpp,48735,0.40
SecLists,48675,0.89
material-design-icons,48564,0.81
alacritty,48460,0.94
scrapy,48363,0.83
localstack,48347,0.93
awesome-flutter,48324,0.00
guava,48227,0.82
awesome-scalability,48170,0.00
you-get,48100,0.00
moment,47530,0.94
bulma,47478,0.92
openai-cookbook,47445,0.62
docusaurus,47424,0.90
nuxt,47301,0.93
git,47248,0.00
awesome-android-ui,47239,0.88
RxJava,47209,1.00
jekyll,47188,0.98
anime,46974,0.73
faceswap,46933,0.98
d2l-zh,46816,0.00
v2rayN,46796,0.95
hacker-scripts,46758,0.51
rustdesk,46589,0.97
prettier,46549,0.84
clash,46383,0.98
new-pac,46381,0.75
nerd-fonts,46142,0.97
kotlin,45666,0.00
tldr,45346,0.86
big-list-of-naughty-strings,45149,0.33
DefinitelyTyped,45130,0.91
serverless,45126,0.83
cypress,44856,0.90
chinese-poetry,44699,0.45
gpt4free,44641,0.68
rich,44592,0.89
Real-Time-Voice-Cloning,44573,0.85
traefik,44509,0.89
learn-regex,44480,0.42
okhttp,44437,0.98
etcd,44399,0.98
whisper,44218,0.00
algorithm-visualizer,44204,0.69
dayjs,44009,0.54
Ghost,43928,0.99
mastodon,43849,0.62
awesome-ios,43833,1.00
pdf.js,43723,0.96
bun,43714,0.61
meteor,43705,0.98
go-ethereum,43553,0.97
awesome-chatgpt-prompts-zh,43414,0.61
pi-hole,43288,0.99
architecture-samples,43107,0.72
julia,43091,0.84
sherlock,43078,0.94
v2ray-core,43059,0.99
TensorFlow-Examples,42925,0.30
act,42894,0.84
AdminLTE,42890,0.97
gogs,42863,0.83
Projects,42850,0.45
bat,42832,0.84
gpt-engineer,42739,0.91
parcel,42665,0.87
ChatGPT-Next-Web,42664,0.99
jest,42633,0.95
drawio-desktop,42533,0.87
babel,42522,0.92
ghidra,42471,0.69
mkcert,42457,0.71
DeepFaceLab,42333,0.60
build-web-application-with-golang,42296,0.61
github-cheat-sheet,42283,0.71
react,42112,0.99
awesome-wechat-weapp,41970,0.00
retrofit,41955,0.94
design-patterns-for-humans,41787,0.94
100-Days-Of-ML-Code,41740,0.00
leetcode-master,41684,0.31
project-layout,41612,0.36
rustlings,41560,0.79
Microsoft-Activation-Scripts,41538,0.99
x64dbg,41524,0.76
openpilot,41473,0.91
hyper,41441,0.77
yolov5,41335,0.98
yarn,41261,0.72
marktext,41254,0.62
git-flight-rules,41244,0.75
trackerslist,41159,0.98
llama,41104,0.58
pixijs,40833,0.97
ChatGPT,40818,0.39
bypass-paywalls-chrome,40801,1.00
gpt_academic,40799,0.72
minio,40674,1.00
PowerShell,40490,0.70
vue2-elm,40332,0.82
llama.cpp,40169,0.64
rclone,40108,0.84
core,40046,0.84
Motrix,40024,0.47
ripgrep,39844,0.91
nw.js,39812,0.88
Alamofire,39712,0.99
pandas,39633,0.86
pm2,39608,0.84
PythonDataScienceHandbook,39475,0.41
styled-components,39462,0.93
dubbo,39336,0.86
huginn,39208,0.71
frontend-dev-bookmarks,39062,0.81
grpc,38870,0.95
materialize,38838,0.88
CppCoreGuidelines,38772,0.79
terraform,38736,0.91
discourse,38696,0.00
meilisearch,38668,0.93
lazygit,38572,0.66
uni-app,38565,0.71
hiring-without-whiteboards,38421,0.00
joplin,38402,0.94
zx,38381,0.87
powerlevel10k,38354,0.99
Leaflet,38327,0.93
AppFlowy,38284,0.66
30-Days-Of-JavaScript,38204,0.38
gitea,38203,0.82
FFmpeg,38202,0.00
dive,38186,0.56
front-end-interview-handbook,38164,0.82
edex-ui,38137,0.99
segment-anything,38040,0.26
python-patterns,38016,0.87
uptime-kuma,37998,0.67
react-use,37974,0.41
vuetify,37896,0.92
Magisk,37772,1.00
nocodb,37664,0.80
awesome-java,37551,1.00
fastlane,37496,0.97
first-contributions,37464,0.96
hexo,37371,0.98
impress.js,37317,0.88
uBlock,37262,1.00
what-happens-when,37222,0.19
privateGPT,37221,0.30
awesome-react-components,37015,0.98
brew,36974,0.99
hackingtool,36932,0.95
Rocket.Chat,36903,0.84
quill,36872,0.61
awesome-rust,36790,0.92
MPAndroidChart,36781,0.59
open-source-mac-os-apps,36690,0.77
spark,36635,0.00
react-hook-form,36628,1.00
freecodecamp.cn,36498,0.76
kubernetes-the-hard-way,36411,0.78
json,36373,0.97
ailearning,36308,0.97
swiper,36302,0.97
open-source-ios-apps,36261,1.00
Deep-Learning-Papers-Reading-Roadmap,36215,0.08
starship,36181,0.76
type-challenges,36160,0.10
query,36158,0.98
video.js,36138,0.91
jadx,36035,0.78
weekly,35978,0.20
php-src,35962,0.77
esbuild,35940,0.90
cheat.sh,35918,0.54
kong,35841,0.95
drawio,35777,0.88
jeecg-boot,35743,0.99
annotated_deep_learning_paper_implementations,35580,0.77
monaco-editor,35470,0.89
slate,35432,0.92
Prompt-Engineering-Guide,35408,0.31
styleguide,35350,0.39
interview_internal_reference,35340,0.40
tabler,35279,0.91
bert,35187,0.31
phaser,35147,0.97
wrk,35121,0.66
Open-Assistant,35055,0.86
sentry,35049,0.85
preact,34973,0.91
lerna,34900,0.87
ant-design-pro,34826,0.96
tutorials,34824,0.97
zustand,34788,1.00
tidb,34772,0.79
fullPage.js,34715,0.96
pure-bash-bible,34704,0.44
node-v0.x-archive,34534,1.00
awesome-cheatsheets,34499,0.64
og-aws,34477,0.38
astro,34435,0.96
v,34387,0.89
JavaFamily,34371,0.98
iina,34370,0.56
koa,34318,0.96
hackathon-starter,34316,0.99
